year,month,day,RPT,VAL,ROS,KIL,SHA,BIR,DUB,CLA,MUL,CLO,BEL,MAL
70.0,10.0,29.0,17.33,16.75,16.5,6.96,13.62,10.92,13.17,13.25,12.54,12.21,20.75,21.21
77.0,1.0,27.0,8.75,6.5,11.83,7.41,11.25,11.38,12.17,12.71,12.17,10.71,13.92,22.95
72.0,6.0,11.0,9.5,9.79,8.25,3.08,5.54,1.87,6.0,3.21,2.83,5.66,7.21,9.96
74.0,3.0,10.0,11.58,6.87,22.5,7.17,7.92,5.88,12.79,8.38,9.04,8.83,8.04,23.04
65.0,12.0,8.0,16.79,16.0,15.0,7.12,15.04,10.54,13.46,11.54,10.67,13.42,16.38,16.46
75.0,8.0,8.0,8.42,3.29,8.08,3.79,4.67,1.54,4.83,2.88,3.5,3.29,7.87,6.0
66.0,5.0,11.0,10.13,7.87,10.37,5.04,5.88,4.75,6.34,5.17,5.37,8.46,10.08,9.08
67.0,10.0,11.0,10.21,12.33,10.21,4.38,14.37,7.71,10.0,11.12,8.63,11.83,21.92,19.7
74.0,2.0,24.0,1.54,7.25,2.37,1.63,4.0,1.13,2.13,6.17,3.29,5.5,11.08,13.96
64.0,1.0,15.0,19.04,21.62,15.34,7.67,15.21,10.25,11.12,14.09,9.0,15.0,15.41,16.54
72.0,3.0,2.0,20.17,13.62,16.92,7.38,12.62,8.12,10.88,6.96,9.87,10.92,13.88,18.5
69.0,12.0,16.0,13.0,9.29,10.46,3.17,9.75,8.75,7.12,7.17,6.38,5.25,10.08,15.54
74.0,11.0,28.0,20.04,16.33,13.5,13.21,19.41,10.96,20.67,13.33,14.67,15.25,18.63,30.71
66.0,4.0,10.0,9.79,11.42,9.54,6.46,11.0,6.25,10.41,8.63,7.21,9.33,11.21,24.96
61.0,5.0,14.0,9.25,6.54,7.04,6.0,11.46,8.12,10.04,9.96,10.04,9.75,11.12,3.33
76.0,6.0,14.0,7.75,7.17,10.71,4.0,6.04,6.0,11.92,5.91,10.13,6.58,16.21,18.46
70.0,2.0,27.0,12.21,10.83,17.88,5.0,5.91,4.92,7.67,8.0,7.12,6.08,9.0,10.41
61.0,12.0,15.0,18.05,15.71,16.66,12.92,16.75,16.42,10.71,12.5,13.59,13.62,20.62,21.12
69.0,9.0,5.0,5.96,3.33,6.08,3.0,6.63,1.87,4.92,2.17,3.0,4.42,5.63,11.04
67.0,7.0,22.0,6.0,7.54,15.04,2.67,5.71,2.67,3.21,5.25,3.33,4.46,7.21,4.83
77.0,4.0,1.0,21.67,16.0,17.33,13.59,20.83,15.96,25.62,17.62,19.41,20.67,24.37,30.09
63.0,2.0,7.0,11.87,7.75,10.54,7.21,7.92,7.83,11.83,5.54,6.58,7.5,8.71,18.34
71.0,11.0,2.0,17.0,12.21,18.08,10.46,10.37,10.25,14.96,10.83,10.96,12.46,18.0,25.12
75.0,7.0,25.0,7.87,7.58,8.96,2.54,9.59,4.75,9.59,6.67,9.46,7.33,13.88,13.59
61.0,3.0,11.0,14.79,16.96,15.5,8.46,10.0,10.92,10.34,15.67,10.58,13.54,22.71,17.08
66.0,12.0,20.0,14.29,11.38,13.29,8.87,9.46,7.96,12.58,7.12,8.96,8.71,12.92,22.5
64.0,12.0,24.0,15.5,10.5,13.75,7.67,7.12,3.58,10.17,7.87,6.87,9.17,16.33,21.75
73.0,10.0,4.0,11.42,7.67,12.42,4.29,7.33,4.79,3.88,6.96,5.63,5.13,7.62,13.88
73.0,9.0,5.0,4.54,8.87,5.96,1.96,4.92,3.37,2.83,4.88,3.37,2.25,14.09,9.5
75.0,4.0,7.0,21.84,15.83,15.0,11.58,16.0,10.92,17.71,14.04,15.71,20.54,20.91,33.04
68.0,10.0,3.0,10.71,11.34,12.83,5.04,7.08,3.5,5.46,9.46,5.71,6.34,10.21,5.21
69.0,4.0,23.0,10.04,8.21,11.5,7.54,8.96,5.04,8.67,7.83,9.0,8.75,12.71,10.37
69.0,6.0,3.0,14.17,7.46,10.63,7.21,11.63,9.59,8.58,8.38,8.25,7.58,11.92,9.54
72.0,1.0,1.0,9.29,3.63,14.54,4.25,6.75,4.42,13.0,5.33,10.04,8.54,8.71,19.17
67.0,4.0,2.0,13.08,12.46,9.59,9.71,14.96,9.96,15.09,11.25,12.46,9.87,16.42,18.41
72.0,9.0,4.0,4.58,5.83,18.46,5.71,6.29,4.29,5.91,6.83,5.21,3.17,13.17,12.08
73.0,5.0,31.0,18.25,14.29,11.25,7.92,12.46,7.17,8.0,7.71,9.29,9.42,11.92,16.71
61.0,6.0,4.0,8.5,6.42,7.25,4.67,7.79,5.17,6.21,9.87,7.29,8.33,17.0,11.42
62.0,7.0,3.0,15.83,10.29,10.0,9.59,10.34,7.21,12.87,8.58,10.58,13.25,8.21,16.71
68.0,6.0,21.0,10.29,10.08,12.21,8.46,13.13,6.17,10.41,7.54,7.58,5.29,11.42,14.75
75.0,3.0,9.0,17.04,13.08,12.21,6.13,10.54,6.25,10.08,8.08,9.38,9.04,15.12,16.33
71.0,1.0,27.0,13.62,12.83,7.79,4.25,9.08,2.54,5.83,0.42,4.58,1.63,4.33,7.17
74.0,3.0,25.0,7.04,5.46,9.5,2.5,5.66,1.71,4.83,7.58,6.04,4.12,6.34,12.92
77.0,9.0,23.0,24.79,23.09,15.71,10.0,20.58,14.46,15.21,12.46,11.71,11.75,16.79,18.25
62.0,3.0,26.0,12.92,8.21,8.92,11.12,12.5,9.67,14.88,9.54,13.5,11.79,11.92,13.17
71.0,7.0,30.0,7.38,8.87,6.71,5.0,9.92,3.17,5.58,5.88,6.04,5.0,8.08,9.71
63.0,6.0,29.0,15.09,14.04,15.21,10.54,14.58,9.0,13.5,15.04,11.5,15.54,20.96,18.75
67.0,2.0,3.0,12.54,11.42,11.21,9.33,13.67,11.5,20.12,14.25,14.54,15.04,21.17,26.79
66.0,3.0,5.0,9.0,11.67,10.34,3.96,11.21,6.71,10.29,13.42,7.92,14.29,21.59,20.5
70.0,9.0,9.0,31.42,28.5,28.21,20.33,30.0,20.67,22.37,18.29,21.46,22.42,25.75,27.75
70.0,1.0,18.0,14.42,15.67,15.16,7.87,12.0,10.04,12.87,10.92,12.58,14.37,15.37,21.79
69.0,7.0,11.0,7.38,5.71,6.96,6.83,11.71,8.54,13.92,8.79,12.62,8.46,16.88,24.54
67.0,2.0,2.0,16.38,17.08,17.21,10.37,18.84,14.12,16.88,16.21,14.29,18.91,24.04,23.54
68.0,1.0,12.0,12.12,9.96,13.59,6.58,11.79,9.62,10.0,8.08,9.33,10.0,10.88,21.54
71.0,6.0,4.0,12.29,2.92,23.71,5.25,7.87,8.96,9.96,7.58,10.54,7.21,9.75,10.41
66.0,6.0,1.0,7.67,6.25,3.79,4.71,6.0,3.88,4.54,5.37,6.0,8.0,7.25,12.83
61.0,1.0,5.0,13.33,13.25,11.42,6.17,10.71,8.21,11.92,6.54,10.92,10.34,12.92,11.83
70.0,1.0,22.0,15.25,15.41,13.13,7.25,13.25,11.38,8.54,10.63,8.25,5.91,12.87,14.75
71.0,7.0,1.0,5.46,8.12,5.33,2.67,6.42,2.96,7.29,8.67,6.21,5.96,16.75,9.33
73.0,5.0,8.0,15.75,12.54,8.75,8.38,14.37,10.37,12.87,12.08,12.21,9.79,14.71,17.58
69.0,5.0,11.0,8.04,9.83,12.12,3.67,8.21,3.92,2.29,8.0,3.96,4.5,14.88,8.83
76.0,12.0,31.0,8.67,8.83,9.38,3.67,5.37,4.58,7.92,1.79,4.46,4.38,6.38,15.67
72.0,3.0,18.0,7.96,2.88,8.92,7.71,6.21,5.41,6.79,4.33,7.21,7.29,8.79,9.67
64.0,7.0,4.0,8.21,10.08,7.62,6.71,8.04,4.17,5.21,7.0,7.33,8.29,9.46,13.46
63.0,9.0,7.0,15.96,13.92,14.75,7.54,13.75,10.88,14.67,12.71,11.38,12.96,12.12,10.67
70.0,3.0,27.0,13.7,9.83,12.58,7.87,8.96,8.33,11.92,7.71,10.58,10.71,13.33,24.79
63.0,12.0,17.0,9.59,9.71,9.13,3.42,6.04,4.75,6.42,5.54,3.21,3.25,6.38,9.42
64.0,5.0,30.0,9.33,6.92,9.71,2.71,7.41,3.13,3.08,3.71,4.38,5.0,7.92,7.79
78.0,3.0,21.0,17.54,15.92,12.54,9.17,14.75,10.0,14.29,12.83,11.92,9.5,17.71,22.17
68.0,3.0,26.0,18.96,19.67,16.92,12.29,18.58,15.34,20.5,19.04,14.0,18.0,28.21,29.5
62.0,2.0,25.0,16.0,13.37,25.92,12.33,15.34,11.42,22.63,13.13,12.46,12.42,15.75,25.08
64.0,9.0,13.0,12.75,11.75,13.17,8.29,9.62,6.96,9.17,9.33,7.5,10.46,16.66,14.21
66.0,6.0,19.0,8.63,8.04,8.87,5.04,6.5,5.66,6.34,3.88,4.75,7.41,8.42,7.17
74.0,12.0,15.0,9.71,11.12,8.12,4.25,9.38,5.17,10.58,8.83,9.5,8.71,12.79,21.0
64.0,8.0,10.0,3.33,5.09,3.67,2.46,5.79,3.5,3.08,2.33,3.08,2.29,3.83,6.08
75.0,11.0,11.0,7.33,4.96,8.0,0.67,2.58,0.29,5.66,2.75,6.29,3.5,4.21,10.25
69.0,6.0,28.0,4.96,5.5,7.0,3.67,5.5,3.63,5.37,6.17,4.21,4.0,14.33,12.71
77.0,6.0,13.0,12.87,8.08,9.25,4.58,7.0,6.63,6.21,5.91,5.58,5.58,9.46,7.0
75.0,10.0,23.0,13.75,16.42,15.92,8.29,12.75,8.25,11.75,10.54,13.62,12.17,20.88,19.75
69.0,11.0,28.0,15.21,10.41,13.7,8.08,8.21,7.67,12.38,10.13,8.92,9.13,18.96,29.33
65.0,9.0,17.0,24.87,19.25,19.08,12.21,19.5,12.92,12.71,13.25,12.42,13.29,13.79,15.87
61.0,8.0,31.0,4.83,7.04,2.46,3.25,8.5,4.83,2.92,6.42,4.29,6.54,17.16,8.0
75.0,3.0,10.0,15.29,13.83,19.0,7.04,10.83,8.33,12.96,11.08,10.46,11.92,16.92,21.75
77.0,7.0,10.0,8.58,5.0,16.33,4.04,7.29,7.21,8.42,4.33,9.29,6.0,10.46,4.5
66.0,4.0,2.0,12.83,11.12,23.5,9.04,9.21,6.38,11.25,3.5,5.29,8.75,7.71,9.0
73.0,1.0,19.0,17.21,8.42,25.08,13.75,10.08,13.17,25.12,7.75,19.12,20.83,8.63,32.66
64.0,1.0,12.0,8.21,5.88,17.08,6.79,9.17,2.25,7.54,5.91,6.04,5.66,5.21,11.96
73.0,11.0,22.0,6.5,5.71,8.21,2.0,5.63,2.79,3.29,2.75,5.17,4.5,5.88,16.04
75.0,10.0,19.0,17.79,22.46,16.5,9.71,19.38,12.83,14.0,14.33,12.83,12.5,22.79,24.41
77.0,2.0,17.0,17.71,15.12,15.59,7.62,14.29,11.75,11.04,10.04,9.5,8.83,11.71,15.87
63.0,11.0,30.0,19.17,17.46,11.08,3.71,14.88,7.5,6.42,11.87,5.79,6.13,16.88,12.5
65.0,10.0,25.0,11.29,10.21,9.62,6.5,9.46,8.42,7.17,6.75,5.37,6.96,10.29,12.96
77.0,8.0,10.0,5.04,10.25,5.41,3.79,6.63,5.37,5.83,3.75,5.75,5.88,11.96,9.83
63.0,4.0,3.0,7.54,4.21,5.63,6.58,6.17,4.17,8.71,7.62,7.54,9.08,4.33,10.5
70.0,10.0,25.0,17.62,12.92,14.96,8.58,14.33,9.96,12.21,9.25,9.29,7.96,11.17,15.96
70.0,5.0,21.0,21.84,13.42,13.46,10.92,18.96,13.25,17.37,12.75,16.92,16.29,16.25,25.5
65.0,1.0,21.0,16.66,15.59,13.92,6.29,13.04,9.54,10.63,9.38,7.58,10.63,17.41,19.33
62.0,12.0,3.0,17.33,16.13,13.88,8.87,14.04,12.38,10.13,9.75,9.71,10.79,13.96,17.5
78.0,11.0,3.0,15.46,14.75,13.08,6.79,10.92,9.08,13.21,13.59,12.12,13.0,20.41,18.29
75.0,7.0,2.0,4.96,4.54,3.5,2.29,4.46,3.54,4.79,4.25,4.5,2.08,5.91,7.0
68.0,3.0,21.0,9.92,10.75,5.33,4.96,11.92,5.83,7.67,7.0,4.5,6.83,10.58,10.41
75.0,1.0,2.0,9.17,11.46,9.13,2.54,8.71,4.58,8.58,13.75,10.67,10.54,17.79,20.96
78.0,3.0,16.0,13.13,14.29,8.08,5.09,8.92,6.29,9.13,8.04,7.29,7.33,11.79,18.96
62.0,12.0,14.0,13.96,13.37,11.08,13.46,20.3,16.33,20.0,18.12,17.33,16.79,21.12,24.04
71.0,4.0,5.0,7.29,2.67,5.46,3.13,4.33,0.5,1.46,1.29,3.92,2.46,2.88,11.92
71.0,11.0,5.0,16.04,9.92,12.42,6.67,10.21,7.75,11.96,5.33,12.38,7.46,13.29,20.96
63.0,5.0,23.0,5.25,10.46,5.13,4.12,9.59,6.29,7.0,6.54,6.38,5.79,13.04,8.04
72.0,5.0,13.0,13.33,11.67,25.62,8.96,9.96,6.75,10.88,11.79,8.58,12.25,17.71,18.34
77.0,11.0,14.0,27.92,25.25,19.33,18.71,28.46,19.5,28.16,24.0,20.79,22.58,30.91,38.66
76.0,6.0,9.0,14.17,13.92,14.21,7.71,13.62,9.59,10.83,10.25,12.42,10.17,17.88,16.79
72.0,8.0,16.0,8.29,7.46,10.29,5.04,8.75,7.29,11.54,10.88,10.41,8.63,18.91,20.71
67.0,4.0,16.0,8.71,6.67,4.71,4.21,8.79,3.25,6.29,4.0,6.08,9.25,7.33,15.16
67.0,4.0,26.0,8.54,10.08,7.87,4.67,9.62,6.42,9.38,9.54,7.87,9.08,15.83,15.25
71.0,5.0,1.0,3.46,1.92,6.83,0.83,1.83,0.37,1.42,1.96,1.54,0.5,4.17,4.0
76.0,4.0,25.0,8.96,3.67,17.71,4.71,4.79,5.0,11.25,5.75,8.38,7.54,11.54,5.96
71.0,7.0,23.0,11.12,7.41,9.5,5.13,11.58,7.04,7.17,7.87,7.0,6.58,7.62,24.37
75.0,4.0,30.0,18.5,15.75,14.92,8.38,16.5,9.87,10.41,11.34,13.33,12.67,17.88,19.33
64.0,4.0,18.0,10.88,7.41,15.87,9.75,11.42,12.87,12.87,12.29,11.0,13.54,11.58,16.88
67.0,2.0,21.0,15.46,17.04,13.96,13.62,19.08,12.12,16.17,13.25,13.5,16.96,24.33,28.67
61.0,10.0,20.0,12.67,3.75,10.37,9.42,7.75,7.21,12.08,6.87,9.83,13.0,11.71,21.67
61.0,12.0,10.0,23.71,21.37,20.17,13.04,18.08,13.17,18.84,15.46,12.46,15.46,20.5,15.41
75.0,11.0,13.0,11.38,9.0,11.71,3.67,11.67,5.63,6.96,6.83,5.54,4.83,6.46,12.67
61.0,10.0,12.0,7.92,8.71,4.67,3.67,9.08,6.54,5.58,6.38,4.0,5.37,12.46,10.75
74.0,6.0,8.0,14.96,10.0,8.17,5.88,13.7,5.66,7.21,9.38,7.41,9.71,12.0,12.33
61.0,11.0,14.0,10.67,10.67,26.63,9.71,8.08,8.42,15.71,4.92,7.5,9.13,5.5,2.75
77.0,3.0,10.0,33.84,26.92,24.41,20.08,23.75,20.58,20.21,18.71,21.92,22.75,23.09,27.58
69.0,6.0,29.0,6.04,7.12,8.29,4.0,5.58,4.46,5.96,10.29,5.83,8.38,19.29,14.67
68.0,7.0,29.0,5.58,3.75,10.34,2.92,3.92,2.21,5.96,4.0,5.58,3.08,3.46,9.13
66.0,5.0,15.0,6.21,9.29,5.09,2.92,6.96,4.29,6.25,8.21,4.42,8.12,17.33,13.29
69.0,10.0,28.0,9.04,9.17,9.62,5.09,11.0,6.13,8.25,9.67,7.92,9.96,16.54,20.58
72.0,2.0,7.0,5.09,5.66,7.08,0.5,5.13,2.5,3.33,0.46,2.37,0.67,5.09,9.71
78.0,5.0,14.0,14.21,10.25,6.34,6.58,13.08,6.29,4.58,8.96,6.5,6.17,10.75,4.83
65.0,9.0,18.0,14.25,9.17,10.75,8.5,12.04,9.13,13.04,8.67,9.92,11.75,11.54,18.21
67.0,2.0,4.0,6.38,4.42,5.96,3.33,8.54,5.0,10.0,5.37,6.71,8.46,11.58,16.04
76.0,6.0,11.0,19.04,16.79,16.38,9.38,11.79,11.5,10.63,13.25,14.04,12.5,20.67,19.67
68.0,1.0,9.0,17.67,16.62,20.17,10.13,14.71,7.92,14.88,10.37,10.96,8.54,11.42,23.58
64.0,10.0,19.0,12.29,12.67,10.46,7.04,10.75,6.13,5.17,8.12,6.13,9.87,19.04,13.21
77.0,5.0,16.0,12.17,11.79,23.16,7.62,7.79,5.46,9.62,8.96,5.91,7.29,12.29,14.79
73.0,3.0,6.0,17.16,11.87,13.62,8.71,12.87,8.92,13.13,9.54,12.87,11.46,13.0,19.87
61.0,12.0,3.0,13.75,10.13,11.79,3.29,7.83,6.79,7.67,6.25,5.46,4.0,8.25,14.37
65.0,2.0,20.0,14.37,12.79,17.79,7.5,13.04,8.21,15.92,13.67,10.29,11.83,13.21,20.67
68.0,4.0,2.0,23.83,19.58,18.58,15.04,18.0,11.92,17.0,14.12,14.58,16.38,25.5,32.5
63.0,9.0,29.0,17.5,10.5,13.7,10.46,14.71,11.87,17.88,14.37,14.58,14.58,16.88,23.96
71.0,8.0,8.0,9.25,7.21,9.92,4.71,13.5,7.12,12.25,7.17,10.25,6.46,12.58,14.5
70.0,12.0,10.0,14.0,6.75,13.88,2.5,7.71,3.63,6.58,5.37,6.92,4.12,7.25,9.71
69.0,8.0,14.0,3.67,7.17,4.5,1.0,3.29,0.63,2.42,1.0,1.63,1.13,3.71,8.58
72.0,5.0,28.0,17.88,15.37,15.5,9.0,19.29,10.37,15.0,15.67,13.59,13.29,24.58,21.46
78.0,10.0,7.0,15.09,21.0,14.33,7.92,15.79,10.83,9.04,10.46,13.33,10.34,18.41,20.71
70.0,4.0,13.0,7.92,6.17,9.25,4.25,6.25,4.5,4.96,4.79,4.38,4.42,7.62,8.75
70.0,2.0,6.0,7.25,7.29,7.54,3.08,5.96,5.29,7.17,5.75,5.75,6.42,12.5,16.13
61.0,10.0,8.0,15.37,11.87,10.29,6.63,13.59,8.46,10.17,9.5,9.21,12.21,17.83,16.25
64.0,10.0,15.0,21.71,16.5,14.5,14.09,18.08,12.58,12.04,12.62,12.67,10.08,21.5,14.5
73.0,11.0,29.0,9.17,8.08,10.25,3.63,9.33,2.83,2.33,4.21,3.96,2.33,5.37,7.5
68.0,11.0,27.0,8.42,9.83,8.25,2.96,7.92,3.0,5.5,7.75,6.25,7.04,11.58,12.54
63.0,12.0,5.0,10.04,7.12,13.62,3.96,7.04,3.79,10.71,7.33,6.13,7.58,7.71,5.09
65.0,8.0,7.0,7.62,4.08,6.71,4.29,9.38,4.79,8.63,6.38,7.96,9.75,8.54,14.83
73.0,6.0,2.0,14.92,13.79,14.5,6.5,13.92,8.46,8.58,8.17,10.25,7.25,11.87,8.75
69.0,1.0,28.0,5.21,3.96,3.83,2.58,4.33,0.33,5.13,2.0,3.92,4.12,4.83,9.13
64.0,5.0,19.0,8.96,9.71,9.33,4.96,11.04,7.46,7.33,8.79,6.46,7.17,13.46,14.58
62.0,9.0,24.0,8.54,9.13,8.5,4.12,9.0,4.79,4.88,4.5,4.29,5.21,6.25,8.5
62.0,6.0,2.0,4.96,4.63,5.75,2.58,3.92,1.08,3.17,2.79,2.42,1.29,4.12,5.66
72.0,5.0,25.0,25.12,21.17,21.17,13.79,23.09,15.54,19.75,17.0,16.96,16.17,28.12,24.25
66.0,3.0,22.0,9.67,4.58,5.63,7.5,11.17,9.67,13.17,9.54,10.34,11.79,15.92,21.96
73.0,8.0,31.0,15.29,15.71,15.71,7.87,19.0,11.87,15.41,15.0,14.29,14.54,24.25,24.54
75.0,5.0,21.0,6.79,2.75,13.42,3.92,5.0,4.17,3.71,5.41,6.42,5.37,15.75,18.71
72.0,5.0,20.0,7.12,7.5,11.25,3.96,8.79,2.67,10.04,4.58,6.79,8.54,8.17,15.25
73.0,12.0,5.0,8.79,8.42,8.96,3.37,6.75,5.41,9.62,9.0,9.25,9.46,13.42,19.46
66.0,8.0,27.0,16.13,15.09,11.12,7.33,15.34,9.0,8.17,11.5,8.75,9.33,13.67,18.0
78.0,7.0,25.0,12.25,12.33,15.29,7.58,10.17,8.5,8.42,8.79,9.87,9.08,16.92,17.04
75.0,10.0,29.0,15.63,18.08,13.83,7.92,14.0,10.63,9.46,9.92,12.79,8.29,11.46,15.09
74.0,6.0,25.0,12.46,6.5,18.0,3.63,6.38,8.42,8.42,8.38,9.0,5.66,11.38,8.54
77.0,1.0,29.0,6.21,6.08,8.29,2.83,2.92,3.25,2.54,2.29,2.0,3.37,6.04,11.58
78.0,8.0,5.0,10.5,9.92,7.5,1.87,7.92,2.79,1.38,1.29,2.71,0.79,5.66,3.92
62.0,8.0,16.0,11.17,8.25,10.21,6.04,10.96,5.88,11.38,6.79,7.54,7.5,11.5,12.87
73.0,4.0,18.0,13.21,10.46,12.92,8.71,9.67,9.79,12.96,8.79,9.54,12.08,11.0,17.75
71.0,7.0,8.0,7.96,9.13,7.62,4.46,7.92,4.17,6.54,6.0,5.79,4.21,10.25,12.08
69.0,10.0,26.0,2.62,2.88,6.67,4.08,9.0,5.09,9.29,8.63,9.25,6.04,12.17,15.46
69.0,5.0,29.0,5.83,5.13,11.92,6.21,8.12,8.87,8.29,9.38,9.33,6.75,11.67,10.79
67.0,8.0,18.0,13.88,9.83,13.96,8.29,12.25,7.83,9.83,8.67,8.04,5.37,12.71,14.37
75.0,9.0,7.0,6.08,4.0,5.66,1.96,2.08,1.38,4.96,4.96,3.92,1.92,9.83,8.21
66.0,1.0,8.0,13.42,10.17,16.21,12.04,10.71,9.08,12.5,8.96,11.42,14.96,16.79,20.25
70.0,8.0,5.0,10.17,4.29,12.17,2.83,5.17,5.66,5.37,4.54,8.42,3.5,11.29,6.75
77.0,4.0,20.0,13.13,13.67,14.54,7.21,9.67,10.25,14.29,12.04,12.12,11.04,18.34,15.37
78.0,2.0,10.0,9.21,6.83,12.96,3.92,6.29,2.37,6.79,7.0,3.92,2.83,9.71,10.75
67.0,1.0,5.0,10.92,4.33,12.67,5.41,6.25,2.62,6.87,1.67,4.88,6.5,4.54,11.67
74.0,2.0,1.0,21.59,16.54,21.09,13.04,13.96,12.33,15.92,12.46,16.04,16.5,9.46,22.67
63.0,11.0,8.0,11.67,12.08,10.5,6.5,14.09,9.75,13.0,7.62,8.92,9.59,12.25,12.42
64.0,5.0,20.0,10.96,12.46,10.83,5.33,9.46,6.0,7.54,10.08,5.75,8.5,14.88,9.33
69.0,5.0,24.0,11.17,7.54,9.17,8.08,11.34,10.25,9.96,7.41,11.58,13.29,12.75,21.79
72.0,12.0,11.0,24.13,22.04,20.62,13.08,17.37,14.88,15.92,16.13,13.29,16.38,29.08,26.54
73.0,4.0,20.0,15.16,12.38,12.54,8.38,10.63,9.46,12.96,9.46,11.29,14.25,13.67,21.21
66.0,2.0,23.0,12.33,11.67,11.67,9.33,15.25,10.17,17.79,11.5,12.67,15.71,18.71,18.25
75.0,3.0,6.0,14.62,14.71,14.0,7.46,14.5,9.83,14.46,11.71,13.54,13.17,19.7,22.37
70.0,1.0,13.0,21.67,18.79,18.41,9.21,15.67,11.54,11.29,14.09,11.38,9.13,13.42,15.96
75.0,12.0,28.0,16.29,15.04,14.37,8.0,9.87,8.33,13.04,11.67,13.21,12.71,14.71,19.17
69.0,8.0,20.0,16.38,14.92,11.29,10.04,17.5,10.71,13.59,11.96,13.33,13.25,18.54,19.62
66.0,1.0,21.0,9.25,7.29,9.42,2.62,5.09,3.54,4.75,4.17,2.88,3.46,7.58,6.96
69.0,5.0,19.0,5.0,5.13,6.21,4.17,6.38,3.17,3.92,1.79,4.42,5.41,6.04,7.75
74.0,2.0,11.0,14.67,11.63,13.21,6.17,11.71,6.04,11.38,10.17,9.04,9.87,17.33,20.67
61.0,11.0,9.0,7.71,6.21,3.83,1.87,6.21,3.33,8.21,1.42,3.37,3.71,6.34,6.63
65.0,12.0,26.0,7.96,6.04,11.17,2.71,5.09,1.13,5.79,1.17,1.29,4.25,4.46,11.21
74.0,2.0,2.0,18.58,20.58,14.54,10.63,18.84,10.71,15.09,13.04,13.29,10.46,19.21,16.25
64.0,10.0,30.0,6.58,10.04,7.04,1.54,8.38,3.33,1.75,6.04,2.62,4.04,7.54,9.79
74.0,2.0,8.0,19.55,20.25,17.92,8.46,15.12,11.46,13.62,13.88,14.96,11.5,19.7,23.79
77.0,5.0,21.0,12.71,7.41,22.46,7.58,7.04,8.71,11.96,4.92,7.87,5.91,7.67,9.0
70.0,9.0,2.0,16.17,12.67,16.88,8.96,14.58,10.92,11.29,9.92,13.7,12.71,14.04,18.29
74.0,10.0,13.0,8.12,5.09,4.79,2.33,6.63,2.04,8.17,3.96,5.54,3.42,8.46,11.71
65.0,2.0,26.0,10.71,5.54,10.21,6.71,7.83,3.46,10.83,5.58,5.79,8.63,7.54,16.29
61.0,6.0,5.0,11.58,11.54,7.5,5.66,9.96,6.04,3.42,9.17,8.08,10.92,16.17,12.29
62.0,7.0,19.0,16.04,15.41,16.21,10.21,18.54,12.08,13.04,15.96,12.87,17.33,23.13,20.08
70.0,11.0,7.0,18.08,11.17,21.87,8.12,8.08,7.0,9.71,6.29,7.58,6.38,8.92,11.08
62.0,9.0,8.0,10.46,11.63,9.67,6.46,10.34,6.29,8.04,6.46,5.96,7.41,9.5,11.42
64.0,11.0,25.0,9.87,7.79,8.79,4.5,7.62,5.13,8.5,6.17,5.79,7.67,10.46,15.12
73.0,3.0,17.0,7.04,4.0,7.29,3.08,3.54,0.75,4.92,2.67,4.79,4.17,3.71,10.46
72.0,11.0,27.0,23.38,22.46,19.75,12.96,13.92,13.96,15.96,18.58,14.17,17.67,27.58,25.84
62.0,11.0,13.0,7.79,1.75,7.83,2.83,4.04,2.08,7.29,1.67,3.17,5.21,8.63,11.21
61.0,1.0,7.0,13.5,14.29,9.5,4.96,12.29,8.33,9.17,9.29,7.58,7.96,13.96,13.79
76.0,10.0,13.0,7.92,7.29,5.88,2.5,7.79,4.63,2.25,4.5,5.21,3.13,8.79,11.46
61.0,3.0,27.0,5.88,3.5,5.17,2.75,2.83,3.5,6.75,1.46,6.5,7.12,7.21,15.34
68.0,12.0,17.0,19.75,17.12,13.62,10.79,15.63,10.92,20.88,15.16,15.37,18.12,18.29,26.2
65.0,12.0,12.0,18.05,16.13,11.79,6.17,13.04,8.87,8.92,9.96,7.96,7.54,9.96,7.54
62.0,6.0,8.0,2.54,4.29,5.71,2.92,4.67,3.46,5.41,5.83,4.63,5.5,8.79,4.29
65.0,10.0,9.0,13.5,7.41,15.12,5.58,8.5,7.38,11.79,8.71,11.71,9.17,12.08,11.54
70.0,4.0,16.0,15.71,17.0,16.66,7.46,10.54,11.17,13.17,11.0,9.67,12.75,15.5,12.58
65.0,5.0,27.0,16.17,11.96,11.46,8.08,9.38,7.92,12.38,8.54,7.58,13.59,10.5,13.79
64.0,7.0,7.0,20.3,18.38,17.79,11.46,19.7,13.29,19.41,17.83,14.88,17.83,23.83,28.46
68.0,11.0,23.0,13.29,13.62,12.67,5.71,12.25,5.66,12.38,8.38,10.17,11.5,16.92,20.91
62.0,8.0,7.0,14.5,9.29,10.13,7.92,10.67,7.08,10.5,7.25,8.79,9.83,11.12,12.83
77.0,6.0,6.0,20.62,18.71,14.71,9.83,18.46,13.04,14.67,13.29,12.87,12.71,21.34,21.84
61.0,5.0,10.0,4.79,6.21,4.63,1.04,3.42,1.17,3.33,3.79,2.46,1.83,7.58,3.88
61.0,1.0,26.0,24.37,18.79,17.5,14.25,18.91,15.67,14.33,15.16,16.08,19.08,20.5,25.25
72.0,4.0,8.0,15.92,12.42,11.29,10.29,13.67,8.83,14.88,9.0,12.79,10.83,11.12,21.0
